Colección:,Dimensiones:,EAN:,Editorial:,Encuadernación:,Fecha publicación :,ISBN:,Idioma de publicación :,Idioma original :,Ilustrador:,Nº páginas:,País de publicación :,Peso:,Traductor:,autor,materias,titulo,url
Andanzas, 225 x 148 mm.,9788490669297,Tusquets Editores, Tapa blanda o Bolsillo,03-03-2021, 978-84-9066-929-7,Español,Español,,400,España,559 gramos,,Terra Alta 2,Ficción moderna y contemporanea,Independencia,https://www.todostuslibros.com/libros/independencia_978-84-9066-929-7
Anaya E.L.E. EN - Digital, 240 x 158 mm.,9788420454597,ALFAGUARA, Tapa blanda o Bolsillo,11-03-2021, 978-84-204-5459-7,Español,Español,,688,España,100 gramos,,,Ficción moderna y contemporanea,Tomás Nevinson,https://www.todostuslibros.com/libros/tomas-nevinson_978-84-204-5459-7
Biblioteca de Ensayo / Serie mayor, 230 x 150 mm.,9788417860790,Siruela, Tapa blanda o Bolsillo,22-02-2021, 978-84-17860-79-0,Español,Español,,452,España,744 gramos,,La invención de los libros en el mundo antiguo,Ensayos literarios,El infinito en un junco,https://www.todostuslibros.com/libros/el-infinito-en-un-junco_978-84-17860-79-0
Andanzas, 225 x 148 mm.,9788490668481,Tusquets Editores, Tapa blanda o Bolsillo,03-02-2021, 978-84-9066-848-1,Español,Español,,240,España,352 gramos,,,Ficción moderna y contemporanea,El huerto de Emerson,https://www.todostuslibros.com/libros/el-huerto-de-emerson_978-84-9066-848-1
ESPASA NARRATIVA, 230 x 150 mm.,9788467061130,Espasa, Tapa blanda o Bolsillo,07-01-2021, 978-84-670-6113-0,Español,Español,,312,España,526 gramos,,,Ficción moderna y contemporanea,Delparaíso,https://www.todostuslibros.com/libros/delparaiso_978-84-670-6113-0
Biblioteca Breve, 230 x 133 mm.,9788432237737,Seix Barral, Tapa blanda o Bolsillo,03-02-2021, 978-84-322-3773-7,Español,Español,,320,España,426 gramos,,,Ficción moderna y contemporanea,Llévame a casa,https://www.todostuslibros.com/libros/llevame-a-casa_978-84-322-3773-7
Titania época, 225 x 150 mm.,9788416327812,Titania, Tapa blanda o Bolsillo,07-01-2020, 978-84-16327-81-2,Español,Inglés,,320,España,416 gramos,"Terés Loriente, Mireia",,Narrativa romántica histórica,El duque y yo (Bridgerton 1),https://www.todostuslibros.com/libros/el-duque-y-yo-bridgerton-1_978-84-16327-81-2
Panorama de narrativas, 22 x 14 mm.,9788433980878,Editorial Anagrama, Tapa blanda o Bolsillo,03-03-2021, 978-84-339-8087-8,Español,Inglés,,384,España,445 gramos,"Bach, Mauricio",,Ficción moderna y contemporanea,Klara y el sol,https://www.todostuslibros.com/libros/klara-y-el-sol_978-84-339-8087-8
NF Novela, 200 x 130 mm.,9788423358687,Booket, Tapa blanda o Bolsillo,13-01-2021, 978-84-233-5868-7,Español,Español,,304,España,218 gramos,,,Ficción moderna y contemporanea,Los privilegios del ángel,https://www.todostuslibros.com/libros/los-privilegios-del-angel_978-84-233-5868-7
Autores Españoles e Iberoamericanos, 230 x 150 mm.,9788408235514,Editorial Planeta, Cartoné,05-11-2020, 978-84-08-23551-4,Español,Español,,416,España,612 gramos,,Premio Planeta 2020,Obra de misterio y suspense,Aquitania,https://www.todostuslibros.com/libros/aquitania_978-84-08-23551-4
Andanzas, 225 x 148 mm.,9788490669297,Tusquets Editores, Tapa blanda o Bolsillo,03-03-2021, 978-84-9066-929-7,Español,Español,,400,España,559 gramos,,Terra Alta 2,Ficción moderna y contemporanea,Independencia,https://www.todostuslibros.com/libros/independencia_978-84-9066-929-7
Anaya E.L.E. EN - Digital, 240 x 158 mm.,9788420454597,ALFAGUARA, Tapa blanda o Bolsillo,11-03-2021, 978-84-204-5459-7,Español,Español,,688,España,100 gramos,,,Ficción moderna y contemporanea,Tomás Nevinson,https://www.todostuslibros.com/libros/tomas-nevinson_978-84-204-5459-7
Biblioteca de Ensayo / Serie mayor, 230 x 150 mm.,9788417860790,Siruela, Tapa blanda o Bolsillo,22-02-2021, 978-84-17860-79-0,Español,Español,,452,España,744 gramos,,La invención de los libros en el mundo antiguo,Ensayos literarios,El infinito en un junco,https://www.todostuslibros.com/libros/el-infinito-en-un-junco_978-84-17860-79-0
Andanzas, 225 x 148 mm.,9788490668481,Tusquets Editores, Tapa blanda o Bolsillo,03-02-2021, 978-84-9066-848-1,Español,Español,,240,España,352 gramos,,,Ficción moderna y contemporanea,El huerto de Emerson,https://www.todostuslibros.com/libros/el-huerto-de-emerson_978-84-9066-848-1
